epoch,train_loss,train_recon,train_vq,val_loss,val_recon,val_vq,lr,time_s
74,23.748119,19.848862,3.899257,23.963628,19.845228,4.118399,1.4e-03,4.7
75,23.548204,19.666766,3.881437,23.938069,20.126828,3.811242,1.4e-03,4.8
76,23.508011,19.661064,3.846948,24.245507,20.424358,3.821149,1.4e-03,4.8
77,23.375079,19.523592,3.851487,23.783333,19.585375,4.197958,1.4e-03,4.8
78,23.252000,19.361307,3.890693,23.002334,19.354000,3.648334,1.3e-03,4.7
79,23.017482,19.215709,3.801772,23.653142,19.557732,4.095410,1.3e-03,4.7
80,23.131711,19.287459,3.844252,22.573437,19.161674,3.411763,1.3e-03,4.7
81,23.061586,19.209414,3.852172,23.163071,19.313384,3.849687,1.3e-03,4.8
82,22.617010,18.839683,3.777327,23.335922,19.412939,3.922983,1.3e-03,4.8
83,22.831040,19.027171,3.803869,23.018823,19.187826,3.830997,1.3e-03,4.8
84,22.575370,18.827113,3.748257,22.649194,18.903932,3.745262,1.3e-03,4.8
85,22.546961,18.767795,3.779166,22.976663,19.283247,3.693416,1.2e-03,4.6
86,22.501118,18.721136,3.779982,22.553579,18.802480,3.751100,1.2e-03,4.7
87,22.356696,18.632256,3.724440,22.562960,18.598330,3.964630,1.2e-03,4.7
88,22.315919,18.592926,3.722993,22.417869,18.492789,3.925080,1.2e-03,4.7
89,22.020825,18.305839,3.714986,22.363994,18.634351,3.729643,1.2e-03,4.8
90,22.215448,18.475176,3.740272,22.446119,18.854139,3.591980,1.2e-03,4.9
91,22.099171,18.369411,3.729760,22.771136,18.798127,3.973008,1.1e-03,4.8
92,21.978567,18.243254,3.735312,21.805070,18.277629,3.527441,1.1e-03,4.9
93,21.899174,18.191111,3.708062,22.769818,18.789420,3.980397,1.1e-03,4.7
94,21.804572,18.051564,3.753007,22.468636,18.582879,3.885757,1.1e-03,4.5
95,21.758932,18.060342,3.698590,21.930567,18.305748,3.624819,1.1e-03,4.5
96,21.934852,18.218804,3.716048,21.860833,18.156788,3.704045,1.1e-03,4.7
97,21.584779,17.905720,3.679060,21.721834,18.335483,3.386350,1.1e-03,5.0
98,21.605493,17.940579,3.664914,21.574072,18.007766,3.566306,1.0e-03,4.8
99,21.517110,17.860400,3.656709,21.554066,18.026434,3.527632,1.0e-03,4.7
100,21.596382,17.887049,3.709332,22.084448,18.452490,3.631958,1.0e-03,4.7
101,21.300824,17.687112,3.613712,21.598481,17.787980,3.810501,9.9e-04,4.7
102,21.203354,17.559022,3.644332,21.124079,17.665248,3.458831,9.7e-04,4.7
103,21.011884,17.388948,3.622936,21.385102,17.884326,3.500777,9.6e-04,4.7
104,21.223757,17.564096,3.659661,21.613572,18.171988,3.441583,9.4e-04,4.8
105,21.012837,17.391596,3.621241,20.845424,17.483035,3.362390,9.3e-04,4.7
106,20.846383,17.267468,3.578915,21.136850,17.423072,3.713777,9.1e-04,4.8
107,20.866738,17.253435,3.613304,20.746108,17.286635,3.459474,9.0e-04,4.7
108,20.827508,17.267529,3.559979,21.262866,17.801893,3.460973,8.8e-04,4.7
109,20.993261,17.383004,3.610257,21.084385,17.263669,3.820716,8.6e-04,4.6
110,20.795104,17.201204,3.593900,21.237903,17.415947,3.821956,8.5e-04,4.9
111,20.710662,17.139642,3.571020,21.092125,17.299914,3.792211,8.3e-04,4.7
112,20.458742,16.941567,3.517175,20.771264,17.405686,3.365579,8.2e-04,4.8
113,20.435823,16.906586,3.529238,20.564499,17.183764,3.380735,8.0e-04,4.7
114,20.503292,16.949427,3.553865,20.966015,17.458019,3.507996,7.9e-04,4.7
115,20.690749,17.142792,3.547957,20.504377,17.155707,3.348670,7.7e-04,4.7
116,20.595268,16.967877,3.627391,20.310220,17.032711,3.277509,7.6e-04,4.8
117,20.296392,16.797027,3.499366,20.674629,17.013336,3.661293,7.4e-04,4.8
