iteration,mean_survival,mean_return,loss,mean_value,entropy,lr,eval_survival,jump_ratio,time_s
80,24.55,19.5938,29.0505,23.9217,0.3373,1.0e-04,20.94,0.12,5.4
81,24.86,19.7902,29.6589,23.8532,0.3249,1.0e-04,,,5.4
82,24.01,19.1215,28.5021,23.6979,0.3244,1.0e-04,,,5.4
83,24.31,19.2926,30.0915,23.8994,0.3445,1.0e-04,,,5.4
84,26.03,20.8434,30.7729,24.1127,0.3421,1.0e-04,,,5.4
85,24.86,19.6383,30.0960,24.0768,0.3494,1.0e-04,,,5.4
86,24.08,19.0535,29.3510,24.2643,0.3503,1.0e-04,,,5.3
87,24.75,19.6254,29.5852,23.9071,0.3432,1.0e-04,,,5.3
88,26.32,20.8336,31.2747,23.7488,0.3631,1.0e-04,,,5.4
89,24.86,19.5125,29.2481,23.7205,0.3621,1.0e-04,,,5.3
90,24.71,19.5176,29.5245,23.5480,0.3551,1.0e-04,21.67,0.15,5.3
91,24.36,19.1602,30.4200,23.7258,0.3490,1.0e-04,,,5.3
92,25.53,20.2840,28.9896,23.5240,0.3545,1.0e-04,,,5.4
93,25.89,20.4133,28.2599,23.4291,0.3739,1.0e-04,,,5.4
94,25.66,20.2523,28.7687,23.6273,0.3720,1.0e-04,,,5.4
95,25.73,20.2336,29.6258,23.7283,0.3804,1.0e-04,,,5.4
96,25.19,19.9172,29.5889,23.6321,0.3617,1.0e-04,,,5.4
97,25.46,20.1219,29.4943,23.6091,0.3477,1.0e-04,,,5.4
98,23.06,18.1207,26.9436,23.8065,0.3350,1.0e-04,,,5.3
99,24.56,19.6141,29.1497,23.7112,0.3183,1.0e-04,,,5.4
100,25.86,20.7242,29.2760,23.8308,0.3336,1.0e-04,22.26,0.18,5.4
101,25.53,20.1223,29.6816,23.5656,0.3639,1.0e-04,,,5.4
102,24.59,19.3375,28.8916,23.4531,0.3602,1.0e-04,,,5.4
103,25.48,19.8934,27.9727,23.3858,0.3753,1.0e-04,,,5.4
104,25.01,19.5770,28.8699,23.2463,0.3811,1.0e-04,,,5.4
105,25.86,20.5195,28.3511,23.2013,0.3683,1.0e-04,,,5.4
106,25.29,19.9922,28.5203,23.4839,0.3719,1.0e-04,,,5.4
107,25.10,19.6848,28.6539,23.3587,0.3754,1.0e-04,,,5.4
108,24.43,19.2531,27.8943,23.5035,0.3596,1.0e-04,,,5.4
109,25.05,19.9496,28.4516,23.5437,0.3507,1.0e-04,,,5.4
110,24.95,19.7129,30.3179,23.6950,0.3666,1.0e-04,23.90,0.25,5.4
111,26.23,20.6141,31.2604,23.5051,0.3869,1.0e-04,,,5.4
112,26.19,20.3969,29.7323,23.0606,0.3955,1.0e-04,,,5.4
113,26.50,20.6633,29.7153,23.1605,0.3911,1.0e-04,,,5.4
114,24.92,19.1391,27.9051,22.9462,0.4061,1.0e-04,,,5.4
115,26.09,20.3066,28.6514,22.9789,0.4029,1.0e-04,,,5.4
116,26.78,20.6629,29.3714,22.9825,0.4111,1.0e-04,,,5.4
117,26.96,20.9664,29.2999,22.8469,0.4059,1.0e-04,,,5.4
118,25.67,19.5438,28.1387,22.8313,0.4148,1.0e-04,,,5.4
119,25.45,19.4957,27.2878,22.7148,0.4067,1.0e-04,,,5.4
120,25.55,19.6246,28.3104,23.0415,0.4020,1.0e-04,24.12,0.26,5.4
121,26.12,20.4035,28.3143,22.8123,0.3862,1.0e-04,,,5.4
122,26.00,20.5879,28.8216,23.3197,0.3790,1.0e-04,,,5.4
123,25.84,20.1957,28.4769,23.2364,0.3995,1.0e-04,,,5.4
124,27.40,21.7270,29.8577,22.9946,0.3753,1.0e-04,,,5.4
125,25.65,20.2340,28.6541,23.0894,0.3777,1.0e-04,,,5.4
126,24.85,19.5625,28.9149,23.2731,0.3742,1.0e-04,,,5.4
127,25.43,19.8875,27.5906,23.1421,0.3899,1.0e-04,,,5.4
128,27.05,20.9758,30.2264,23.0144,0.4071,1.0e-04,,,5.4
129,25.56,19.7180,28.4634,22.9675,0.3983,1.0e-04,,,5.4
130,25.98,20.1492,28.4356,22.9113,0.4005,1.0e-04,25.30,0.33,5.4
131,27.03,21.0492,29.2084,23.1451,0.4050,1.0e-04,,,5.4
132,27.09,20.9777,29.0157,22.5503,0.4150,1.0e-04,,,5.4
133,26.73,20.9164,28.7512,22.8651,0.3998,1.0e-04,,,5.4
134,25.59,19.7531,27.6983,22.8239,0.4007,1.0e-04,,,5.4
135,27.00,21.0836,28.9943,22.9586,0.3927,1.0e-04,,,5.4
136,26.94,21.0160,29.2391,23.0374,0.3971,1.0e-04,,,5.4
137,25.36,19.4875,28.1554,23.1514,0.4102,1.0e-04,,,5.4
138,25.73,19.9395,29.2460,23.1958,0.3961,1.0e-04,,,5.3
139,25.59,20.0254,28.7284,22.9476,0.3850,1.0e-04,,,5.4
140,25.02,19.4668,26.8013,23.1575,0.3901,1.0e-04,24.99,0.30,5.4
141,27.17,21.2156,29.3863,23.2112,0.4067,1.0e-04,,,5.4
142,26.54,20.8246,28.9887,22.9649,0.3831,1.0e-04,,,5.4
143,26.74,21.0422,29.9864,23.4238,0.3784,1.0e-04,,,5.4
144,25.68,20.1867,29.2219,23.5054,0.3718,1.0e-04,,,5.4
145,26.06,20.3988,30.0248,23.4645,0.3827,1.0e-04,,,5.4
146,25.36,19.8859,28.5805,23.2472,0.3862,1.0e-04,,,5.4
147,26.85,21.0941,29.3181,23.2015,0.3978,1.0e-04,,,5.4
148,26.15,20.3836,29.6402,23.1924,0.3982,1.0e-04,,,5.4
149,25.08,19.4887,27.9771,23.3163,0.3887,1.0e-04,,,5.4
150,25.73,20.0582,28.5088,23.3566,0.3925,1.0e-04,23.70,0.21,5.3
151,26.48,20.9469,29.2621,23.0876,0.3773,1.0e-04,,,5.4
152,25.27,20.0051,27.1425,23.2193,0.3526,1.0e-04,,,5.4
153,25.66,20.2586,28.8490,23.2797,0.3725,1.0e-04,,,5.4
154,26.40,20.7742,29.8343,23.3448,0.3801,1.0e-04,,,5.4
