epoch,train_recon,train_slow,train_uniform,val_recon,lr,time_s
94,1.843473,0.400348,-3.684550,1.789303,5.5e-04,86.4
95,1.839844,0.400884,-3.687298,1.789007,5.4e-04,84.8
96,1.838812,0.400078,-3.685839,1.771604,5.4e-04,85.6
97,1.836985,0.399272,-3.684319,1.784181,5.3e-04,85.7
98,1.834422,0.399175,-3.683593,1.779418,5.2e-04,85.6
99,1.826792,0.399889,-3.687934,1.774585,5.1e-04,86.3
100,1.820506,0.400654,-3.692530,1.771951,5.0e-04,86.0
101,1.821608,0.401120,-3.693347,1.772992,5.0e-04,87.6
102,1.817002,0.400666,-3.692397,1.761735,4.9e-04,86.7
103,1.815401,0.399737,-3.690135,1.805322,4.8e-04,85.9
104,1.813657,0.397181,-3.686974,1.782860,4.7e-04,86.6
105,1.807123,0.398312,-3.690026,1.774708,4.7e-04,86.8
106,1.806499,0.401132,-3.695054,1.758994,4.6e-04,86.6
107,1.798872,0.401062,-3.695772,1.827852,4.5e-04,86.1
108,1.799308,0.400731,-3.696165,1.769327,4.4e-04,87.6
109,1.797578,0.401858,-3.696308,1.756214,4.4e-04,86.8
110,1.792952,0.399869,-3.694682,1.762217,4.3e-04,85.9
111,1.789613,0.401146,-3.698480,1.732354,4.2e-04,86.7
112,1.788278,0.400047,-3.696317,1.758184,4.1e-04,87.0
113,1.786201,0.400196,-3.698013,1.723851,4.0e-04,86.8
114,1.780319,0.399871,-3.697503,1.748245,4.0e-04,85.9
115,1.779283,0.399972,-3.697543,1.781596,3.9e-04,86.4
116,1.776310,0.398837,-3.696327,1.727689,3.8e-04,85.6
117,1.774064,0.398900,-3.698547,1.707684,3.7e-04,84.7
118,1.770373,0.400593,-3.703427,1.699214,3.7e-04,85.6
119,1.768413,0.399737,-3.700990,1.711317,3.6e-04,85.6
120,1.764467,0.400350,-3.702971,1.710527,3.5e-04,85.5
121,1.764389,0.398155,-3.696882,1.699959,3.4e-04,84.7
122,1.759328,0.399931,-3.702358,1.690148,3.4e-04,86.3
123,1.756745,0.400799,-3.704760,1.690629,3.3e-04,85.6
124,1.755775,0.401622,-3.705631,1.682014,3.2e-04,84.7
125,1.753064,0.401714,-3.705461,1.713607,3.2e-04,85.5
126,1.751171,0.402371,-3.707622,1.702873,3.1e-04,85.5
127,1.748611,0.400748,-3.706584,1.686638,3.0e-04,85.4
128,1.746211,0.401524,-3.708599,1.689161,2.9e-04,85.4
