generation,best_fitness,mean_fitness,median_fitness,sigma,time_s
185,13.98,13.04,13.05,11.1526,130.5
186,11.38,10.78,10.80,11.2425,130.5
187,13.41,12.69,12.72,11.3658,130.5
188,13.03,11.91,11.91,11.5492,130.5
189,12.78,12.23,12.28,11.7237,130.5
190,13.98,12.98,13.02,11.9231,130.5
191,13.66,12.47,12.48,12.0786,130.5
192,13.88,13.14,13.16,12.0885,130.5
193,14.73,13.99,14.00,12.1343,130.5
194,13.47,12.53,12.53,12.3103,130.5
195,12.06,11.41,11.43,12.5125,130.5
196,14.00,13.00,12.99,12.6399,130.5
197,14.73,13.87,13.84,12.8564,130.5
198,14.27,13.55,13.56,13.1617,130.5
199,14.33,13.22,13.24,13.3526,130.5
200,12.64,12.09,12.11,13.5307,130.5
201,14.88,14.00,13.97,13.7558,130.5
202,12.03,11.43,11.42,14.1611,130.5
203,11.03,10.22,10.22,14.6698,130.5
204,11.56,10.85,10.86,15.0570,130.5
205,12.86,11.93,11.95,15.4076,130.5
206,12.09,11.14,11.15,15.9006,130.5
207,14.92,14.17,14.19,16.3136,130.5
208,12.67,12.06,12.08,16.6376,130.5
209,13.73,13.02,13.03,16.8483,130.5
210,11.97,11.15,11.12,17.2099,130.5
211,13.14,12.54,12.56,17.6038,130.5
212,12.78,11.97,11.98,17.9230,130.5
213,13.17,12.37,12.39,18.1477,130.5
214,12.38,11.68,11.67,18.3437,130.5
215,13.66,12.79,12.77,18.6994,130.4
216,13.98,13.18,13.20,19.1265,130.5
217,13.17,12.54,12.56,19.4180,130.5
218,12.61,11.75,11.76,19.3221,130.5
219,11.20,10.72,10.72,19.3679,130.5
220,11.67,10.76,10.74,19.4851,130.4
