epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
35,3.011427,2.837456,0.2383,0.8745,0.7813,0.8253,0.1740,2.977720,2.801230,0.2493,0.6299,0.8171,0.7114,0.1765,-0.0337,3.8e-03,179.1
36,3.005222,2.831576,0.2392,0.8777,0.7880,0.8304,0.1736,2.969988,2.802562,0.2481,0.6672,0.8156,0.7340,0.1674,-0.0352,3.8e-03,179.1
37,2.998119,2.826895,0.2399,0.8738,0.7797,0.8241,0.1712,2.982261,2.817042,0.2483,0.5778,0.8693,0.6942,0.1652,-0.0159,3.8e-03,179.7
38,2.987635,2.821218,0.2407,0.8754,0.7875,0.8291,0.1664,2.980245,2.811998,0.2487,0.6029,0.8502,0.7055,0.1682,-0.0074,3.8e-03,178.9
39,2.982091,2.815579,0.2415,0.8795,0.7916,0.8333,0.1665,2.970292,2.801766,0.2500,0.6611,0.8088,0.7275,0.1685,-0.0118,3.7e-03,179.0
40,2.977770,2.811491,0.2423,0.8777,0.7923,0.8328,0.1663,2.968983,2.806438,0.2499,0.7179,0.7634,0.7400,0.1625,-0.0088,3.7e-03,179.5
41,2.971383,2.805140,0.2432,0.8775,0.7892,0.8310,0.1662,2.955949,2.787953,0.2514,0.7944,0.6898,0.7384,0.1680,-0.0154,3.7e-03,178.8
42,2.966098,2.800126,0.2440,0.8708,0.7898,0.8283,0.1660,2.967399,2.800976,0.2508,0.7183,0.7761,0.7461,0.1664,0.0013,3.7e-03,178.7
43,2.962146,2.796259,0.2444,0.8788,0.7887,0.8313,0.1659,2.968624,2.805444,0.2514,0.7317,0.7502,0.7408,0.1632,0.0065,3.7e-03,179.5
44,2.957230,2.791655,0.2451,0.8834,0.8009,0.8401,0.1656,2.978315,2.812398,0.2513,0.7267,0.7561,0.7411,0.1659,0.0211,3.7e-03,178.8
45,2.952445,2.786724,0.2462,0.8822,0.7975,0.8377,0.1657,2.980117,2.813801,0.2508,0.6306,0.8195,0.7128,0.1663,0.0277,3.6e-03,178.7
46,2.947871,2.781609,0.2467,0.8853,0.8033,0.8423,0.1663,2.968258,2.802720,0.2521,0.7382,0.7522,0.7451,0.1655,0.0204,3.6e-03,179.4
47,2.942318,2.776788,0.2475,0.8797,0.7979,0.8368,0.1655,2.966327,2.801689,0.2516,0.6939,0.7951,0.7411,0.1646,0.0240,3.6e-03,178.8
48,2.931371,2.770945,0.2486,0.8826,0.8022,0.8405,0.1604,2.981202,2.820292,0.2507,0.6834,0.8117,0.7420,0.1609,0.0498,3.6e-03,178.8
49,2.927715,2.768786,0.2486,0.8848,0.8022,0.8415,0.1589,2.959359,2.799373,0.2529,0.6140,0.8541,0.7144,0.1600,0.0316,3.6e-03,179.4
50,2.923883,2.765090,0.2492,0.8926,0.8121,0.8505,0.1588,2.976504,2.819039,0.2507,0.6331,0.8502,0.7258,0.1575,0.0526,3.6e-03,178.7
51,2.916337,2.757448,0.2502,0.8858,0.8057,0.8438,0.1589,2.981761,2.817026,0.2515,0.6504,0.8366,0.7318,0.1647,0.0654,3.5e-03,178.7
52,2.913388,2.754586,0.2510,0.8836,0.8042,0.8420,0.1588,2.972342,2.812966,0.2523,0.6270,0.8585,0.7247,0.1594,0.0590,3.5e-03,179.3
53,2.909217,2.750346,0.2518,0.8881,0.8131,0.8489,0.1589,2.959490,2.803619,0.2534,0.6092,0.8624,0.7141,0.1559,0.0503,3.5e-03,178.7
54,2.903185,2.744321,0.2524,0.8940,0.8176,0.8541,0.1589,2.980990,2.818317,0.2521,0.6062,0.8478,0.7069,0.1627,0.0778,3.5e-03,179.2
55,2.901954,2.743168,0.2529,0.8868,0.8110,0.8472,0.1588,2.970279,2.812665,0.2531,0.7024,0.8176,0.7556,0.1576,0.0683,3.5e-03,178.6
