epoch,train_total,train_loss,train_acc,train_death_prec,train_death_rec,train_death_f1,train_cpc,val_total,val_loss,val_acc,val_death_prec,val_death_rec,val_death_f1,val_cpc,gap,lr,time_s
154,2.595292,2.458632,0.3008,0.9302,0.8804,0.9047,0.1367,2.932511,2.796180,0.2708,0.7224,0.8746,0.7913,0.1363,0.3372,9.6e-04,178.7
155,2.592545,2.456117,0.3010,0.9275,0.8785,0.9023,0.1364,2.924872,2.789267,0.2718,0.7239,0.8722,0.7912,0.1356,0.3323,9.4e-04,178.6
156,2.589360,2.453118,0.3018,0.9279,0.8770,0.9017,0.1362,2.913962,2.779096,0.2725,0.6970,0.8717,0.7746,0.1349,0.3246,9.2e-04,179.2
157,2.589846,2.453601,0.3017,0.9288,0.8814,0.9045,0.1362,2.921477,2.785458,0.2721,0.6727,0.8873,0.7653,0.1360,0.3316,9.0e-04,178.7
159,2.566888,2.432456,0.3059,0.9296,0.8838,0.9062,0.1344,2.904827,2.771239,0.2752,0.7176,0.8839,0.7921,0.1336,0.3379,4.0e-05,280.0
160,2.557965,2.423687,0.3075,0.9291,0.8864,0.9072,0.1343,2.904140,2.770127,0.2754,0.7156,0.8815,0.7899,0.1340,0.3462,4.0e-05,179.3
161,2.554828,2.420738,0.3081,0.9317,0.8903,0.9105,0.1341,2.901278,2.767464,0.2758,0.7141,0.8820,0.7892,0.1338,0.3464,4.0e-05,178.3
162,2.552560,2.418430,0.3084,0.9319,0.8885,0.9097,0.1341,2.900990,2.767357,0.2760,0.7121,0.8844,0.7889,0.1336,0.3484,4.0e-05,178.2
163,2.550071,2.415854,0.3089,0.9304,0.8883,0.9089,0.1342,2.900895,2.766924,0.2763,0.7117,0.8849,0.7889,0.1340,0.3508,4.0e-05,179.1
164,2.548271,2.414051,0.3093,0.9333,0.8912,0.9118,0.1342,2.900287,2.767129,0.2762,0.7178,0.8834,0.7920,0.1332,0.3520,4.1e-05,178.2
165,2.547312,2.413106,0.3097,0.9338,0.8887,0.9107,0.1342,2.902040,2.768370,0.2762,0.7107,0.8878,0.7894,0.1337,0.3547,4.1e-05,178.3
166,2.545698,2.411673,0.3097,0.9317,0.8883,0.9095,0.1340,2.901157,2.767475,0.2764,0.7177,0.8854,0.7927,0.1337,0.3555,4.1e-05,179.2
167,2.545281,2.411001,0.3099,0.9323,0.8843,0.9077,0.1343,2.898909,2.765602,0.2766,0.7117,0.8873,0.7898,0.1333,0.3536,4.2e-05,178.2
168,2.543260,2.409250,0.3101,0.9320,0.8877,0.9093,0.1340,2.899085,2.765762,0.2764,0.7212,0.8820,0.7935,0.1333,0.3558,4.2e-05,178.2
169,2.543310,2.409260,0.3103,0.9309,0.8863,0.9081,0.1341,2.900317,2.766135,0.2765,0.7187,0.8863,0.7938,0.1342,0.3570,4.3e-05,179.3
170,2.541552,2.407486,0.3104,0.9343,0.8874,0.9102,0.1341,2.898778,2.764897,0.2766,0.7189,0.8844,0.7931,0.1339,0.3572,4.4e-05,178.3
171,2.539585,2.405619,0.3110,0.9303,0.8902,0.9098,0.1340,2.898779,2.764794,0.2767,0.7157,0.8854,0.7915,0.1340,0.3592,4.4e-05,178.2
172,2.540840,2.406760,0.3107,0.9359,0.8903,0.9125,0.1341,2.899148,2.765722,0.2767,0.7158,0.8844,0.7912,0.1334,0.3583,4.5e-05,179.1
173,2.538855,2.404885,0.3111,0.9357,0.8897,0.9121,0.1340,2.901354,2.767404,0.2766,0.7182,0.8863,0.7934,0.1340,0.3625,4.6e-05,178.3
174,2.538440,2.404479,0.3111,0.9327,0.8866,0.9091,0.1340,2.900350,2.765924,0.2768,0.7176,0.8873,0.7935,0.1344,0.3619,4.7e-05,178.2
175,2.537862,2.403764,0.3114,0.9372,0.8885,0.9122,0.1341,2.900933,2.766947,0.2770,0.6977,0.8927,0.7832,0.1340,0.3631,4.8e-05,179.1
176,2.535607,2.401658,0.3117,0.9310,0.8867,0.9083,0.1339,2.897705,2.763936,0.2770,0.7127,0.8907,0.7918,0.1338,0.3621,4.9e-05,178.2
177,2.535911,2.402107,0.3116,0.9349,0.8903,0.9120,0.1338,2.896893,2.763483,0.2772,0.7113,0.8907,0.7910,0.1334,0.3610,5.0e-05,178.2
178,2.535070,2.401091,0.3117,0.9328,0.8917,0.9118,0.1340,2.897735,2.764092,0.2772,0.7203,0.8829,0.7933,0.1336,0.3627,5.1e-05,179.1
179,2.535669,2.401611,0.3118,0.9351,0.8879,0.9109,0.1341,2.898524,2.764837,0.2769,0.7249,0.8820,0.7958,0.1337,0.3629,5.2e-05,178.2
180,2.533203,2.399197,0.3122,0.9330,0.8900,0.9110,0.1340,2.898116,2.764311,0.2773,0.7109,0.8854,0.7886,0.1338,0.3649,5.3e-05,178.4
181,2.534116,2.400159,0.3121,0.9345,0.8891,0.9113,0.1340,2.896016,2.761974,0.2773,0.7119,0.8849,0.7890,0.1340,0.3619,5.4e-05,179.2
182,2.534496,2.400515,0.3120,0.9324,0.8894,0.9104,0.1340,2.899133,2.764945,0.2771,0.7218,0.8810,0.7935,0.1342,0.3646,5.6e-05,179.1
183,2.532572,2.398454,0.3121,0.9343,0.8878,0.9105,0.1341,2.896899,2.763104,0.2774,0.7193,0.8815,0.7922,0.1338,0.3643,5.7e-05,179.9
184,2.532970,2.398950,0.3121,0.9361,0.8891,0.9120,0.1340,2.897922,2.764291,0.2771,0.7213,0.8839,0.7944,0.1336,0.3650,5.8e-05,180.8
185,2.531675,2.397620,0.3125,0.9314,0.8850,0.9076,0.1341,2.899297,2.765882,0.2772,0.7108,0.8834,0.7877,0.1334,0.3676,6.0e-05,179.6
186,2.530992,2.396912,0.3126,0.9310,0.8862,0.9080,0.1341,2.896788,2.763105,0.2774,0.7134,0.8839,0.7895,0.1337,0.3658,6.1e-05,179.4
187,2.531059,2.397176,0.3125,0.9338,0.8881,0.9104,0.1339,2.899424,2.765446,0.2772,0.7105,0.8810,0.7866,0.1340,0.3684,6.3e-05,180.5
188,2.530876,2.396693,0.3127,0.9333,0.8901,0.9112,0.1342,2.898217,2.764379,0.2772,0.7158,0.8795,0.7892,0.1338,0.3673,6.5e-05,179.5
189,2.529924,2.395965,0.3128,0.9359,0.8895,0.9121,0.1340,2.899147,2.765550,0.2773,0.7132,0.8844,0.7896,0.1336,0.3692,6.6e-05,180.7
190,2.528053,2.394042,0.3132,0.9312,0.8893,0.9098,0.1340,2.900391,2.766975,0.2773,0.7149,0.8868,0.7916,0.1334,0.3723,6.8e-05,179.8
191,2.529913,2.395958,0.3128,0.9355,0.8879,0.9111,0.1340,2.899238,2.764892,0.2774,0.7172,0.8820,0.7911,0.1343,0.3693,7.0e-05,179.8
192,2.528711,2.394758,0.3129,0.9363,0.8919,0.9136,0.1340,2.895181,2.761740,0.2774,0.6990,0.8883,0.7824,0.1334,0.3665,7.2e-05,180.7
193,2.528298,2.394304,0.3134,0.9372,0.8912,0.9136,0.1340,2.895070,2.760778,0.2776,0.7177,0.8820,0.7914,0.1343,0.3668,7.4e-05,179.7
194,2.527838,2.393787,0.3131,0.9354,0.8893,0.9118,0.1341,2.897623,2.764846,0.2774,0.7113,0.8844,0.7884,0.1328,0.3698,7.6e-05,179.6
195,2.527986,2.393955,0.3133,0.9351,0.8898,0.9119,0.1340,2.896971,2.763674,0.2774,0.7013,0.8878,0.7836,0.1333,0.3690,7.8e-05,180.6
196,2.527473,2.393541,0.3135,0.9346,0.8896,0.9115,0.1339,2.899623,2.766015,0.2773,0.7008,0.8902,0.7843,0.1336,0.3722,8.0e-05,179.4
197,2.525762,2.391727,0.3135,0.9341,0.8923,0.9127,0.1340,2.900365,2.766571,0.2774,0.6976,0.8946,0.7839,0.1338,0.3746,8.2e-05,179.6
198,2.527016,2.393068,0.3134,0.9330,0.8899,0.9109,0.1339,2.894392,2.761284,0.2777,0.7062,0.8878,0.7867,0.1331,0.3674,8.4e-05,180.7
199,2.526594,2.392604,0.3136,0.9305,0.8904,0.9100,0.1340,2.896596,2.763096,0.2774,0.7171,0.8780,0.7895,0.1335,0.3700,8.6e-05,179.7
200,2.525991,2.392008,0.3135,0.9338,0.8885,0.9106,0.1340,2.898585,2.765650,0.2774,0.7003,0.8868,0.7826,0.1329,0.3726,8.8e-05,179.5
